N-GRAM,TOT,GEN,INF
of_the,2085,783,1335
in_the,1545,540,1038
to_the,557,300,269
of_a,454,146,320
and_the,438,206,250
on_the,432,242,198
was_a,362,54,312
from_the,337,130,214
known_as,324,8,317
by_the,274,144,143
greek_mythology,269,0,269
in_greek,268,0,268
for_the,260,154,119
with_the,259,133,133
as_a,258,96,169
was_the,240,41,202
one_of,234,53,182
at_the,229,158,80
to_be,223,174,57
in_a,210,115,99
as_the,205,54,152
with_a,187,100,95
also_known,184,0,184
it_is,164,131,36
that_the,154,134,28
to_a,147,56,91
such_as,146,34,114
that_is,134,28,106
the_capital,129,4,125
and_a,124,51,78
city_of,123,0,123
it_was,120,125,3
in_which,119,36,84
are_a,117,12,105
part_of,112,23,90
a_city,110,1,109
the_first,108,52,57
son_of,108,0,107
the_name,104,5,99
for_a,102,60,45
ancient_greek,99,0,99
of_an,97,22,77
has_been,95,70,31
the_united,95,17,79
was_an,93,9,85
name_of,92,5,87
can_be,92,59,33
city_in,91,0,91
is_one,90,7,83
have_been,89,79,13
DT_NN,13116,5589,7808
NN_IN,12801,4965,8114
JJ_NN,10720,3782,7178
IN_DT,10368,4962,5663
NN_NN,9297,3009,6526
DT_JJ,6703,2496,4365
IN_NN,6672,2719,4090
NN_CC,4741,1514,3324
NN_VBZ,3838,852,3037
IN_JJ,3604,1219,2447
VBN_IN,3421,1264,2222
JJ_NNS,3256,1510,1806
NNS_IN,3222,1645,1664
CC_NN,2398,546,1900
JJ_JJ,2207,616,1623
TO_VB,2059,1591,532
NN_NNS,2030,901,1174
IN_NNS,1748,791,1000
NN_VBD,1693,1146,598
DT_NNS,1584,975,661
NN_JJ,1551,415,1164
NNS_CC,1548,644,943
NN_RB,1465,522,973
NN_VBN,1461,303,1182
CC_JJ,1422,387,1053
RB_VBN,1330,482,870
VBD_DT,1280,563,740
PRP_VBD,1226,1238,41
RB_IN,1172,736,473
JJ_IN,1166,685,521
IN_CD,1154,524,663
MD_VB,1061,980,116
NN_DT,996,458,567
JJ_CC,980,338,660
IN_PRP,962,896,98
CC_DT,952,446,538
NN_WDT,941,267,688
PRP$_NN,920,763,205
VB_DT,898,753,173
IN_PRP$,882,673,241
RB_JJ,831,548,312
NN_VBG,798,320,490
IN_VBG,796,407,412
CD_NN,788,428,389
NNS_NN,761,288,490
CC_NNS,734,240,510
VBD_IN,731,538,218
PRP_VBP,704,713,20
VBN_NN,694,254,452
WDT_VBZ,682,122,566
